Classes,f,f%,F,F %,xi,xi.fi,xi²,xi².fi
"(22.911, 31.091]",9,0.0891089108910891,9,0.0891089108910891,27.000954545454547,243.0085909090909,729.0515463657026,6561.463917291324
"(31.091, 39.182]",4,0.039603960396039604,13,0.12871287128712872,35.13636363636364,140.54545454545456,1234.5640495867772,4938.256198347109
"(39.182, 47.273]",8,0.07920792079207921,21,0.2079207920792079,43.227272727272734,345.81818181818187,1868.597107438017,14948.776859504136
"(47.273, 55.364]",6,0.0594059405940594,27,0.26732673267326734,51.31818181818182,307.90909090909093,2633.5557851239673,15801.334710743804
"(55.364, 63.455]",6,0.0594059405940594,33,0.32673267326732675,59.409090909090914,356.4545454545455,3529.4400826446285,21176.64049586777
"(63.455, 71.545]",16,0.15841584158415842,49,0.48514851485148514,67.5,1080.0,4556.25,72900.0
"(71.545, 79.636]",8,0.07920792079207921,57,0.5643564356435643,75.5909090909091,604.7272727272727,5713.985537190083,45711.884297520664
"(79.636, 87.727]",7,0.06930693069306931,64,0.6336633663366337,83.68181818181819,585.7727272727273,7002.646694214877,49018.52685950414
"(87.727, 95.818]",16,0.15841584158415842,80,0.7920792079207921,91.77272727272728,1468.3636363636365,8422.233471074382,134755.7355371901
"(95.818, 103.909]",16,0.15841584158415842,96,0.9504950495049505,99.86363636363637,1597.818181818182,9972.745867768597,159563.93388429756
"(103.909, 112.0]",5,0.04950495049504951,101,1.0,107.95454545454547,539.7727272727274,11654.183884297523,58270.91942148762
