Classes,f,f%,F,F %,xi,xi.fi,xi²,xi².fi
"(3.139, 3.218]",14,0.14,14,0.14,3.17818325,44.4945655,10.100848770580562,141.41188278812785
"(3.218, 3.296]",30,0.3,44,0.44,3.256925,97.70774999999999,10.607560455624998,318.22681366874997
"(3.296, 3.374]",13,0.13,57,0.57,3.335275,43.358575,11.124059325625002,144.61277123312502
"(3.374, 3.453]",11,0.11,68,0.68,3.4136249999999997,37.549875,11.652835640624998,128.18119204687497
"(3.453, 3.531]",7,0.07,75,0.75,3.491975,24.443825,12.193889400625,85.357225804375
"(3.531, 3.609]",6,0.06,81,0.81,3.570325,21.42195,12.747220605625,76.48332363374999
"(3.609, 3.688]",7,0.07,88,0.88,3.648675,25.540725,13.312829255625,93.18980478937499
"(3.688, 3.766]",9,0.09,97,0.97,3.7270250000000003,33.543225,13.890715350625001,125.01643815562501
"(3.766, 3.845]",2,0.02,99,0.99,3.8053749999999997,7.6107499999999995,14.480878890624998,28.961757781249997
"(3.845, 3.923]",1,0.01,100,1.0,3.883725,3.883725,15.083319875625001,15.083319875625001
