,Servico
0,Serviços Financeiros
1,Demais Produtos
2,Serviços Financeiros
3,Serviços Financeiros
4,Telecomunicações
5,Telecomunicações
6,Transportes
7,Serviços Financeiros
8,Serviços Financeiros
9,Serviços Financeiros
10,Telecomunicações
11,Telecomunicações
12,Produtos de Telefonia e Informática
13,Telecomunicações
14,Serviços Financeiros
15,Produtos de Telefonia e Informática
16,Telecomunicações
17,Serviços Financeiros
18,Serviços Financeiros
19,Transportes
20,Serviços Financeiros
21,Serviços Financeiros
22,Telecomunicações
23,Serviços Financeiros
24,Produtos de Telefonia e Informática
25,Serviços Financeiros
26,Serviços Financeiros
27,Produtos de Telefonia e Informática
28,Telecomunicações
29,Serviços Financeiros
