,Servico
0,Telecomunicações
1,Serviços Financeiros
2,Telecomunicações
3,Serviços Financeiros
4,Produtos de Telefonia e Informática
5,Telecomunicações
6,Produtos de Telefonia e Informática
7,Telecomunicações
8,Serviços Financeiros
9,Serviços Financeiros
10,Demais Produtos
11,Telecomunicações
12,Produtos Eletrodomésticos e Eletrônicos
13,Demais Produtos
14,Telecomunicações
15,Serviços Financeiros
16,Produtos de Telefonia e Informática
17,Serviços Financeiros
18,Produtos de Telefonia e Informática
19,Telecomunicações
20,Telecomunicações
21,Demais Serviços 
22,Telecomunicações
23,Telecomunicações
24,Serviços Financeiros
25,Telecomunicações
26,Serviços Financeiros
27,Serviços Financeiros
28,Serviços Financeiros
29,Telecomunicações
30,Serviços Financeiros
31,Produtos de Telefonia e Informática
32,Serviços Financeiros
33,Telecomunicações
34,Produtos de Telefonia e Informática
35,Serviços Financeiros
36,Telecomunicações
37,Telecomunicações
38,Telecomunicações
39,Serviços Financeiros
40,Serviços Financeiros
41,Demais Produtos
42,Produtos de Telefonia e Informática
43,Telecomunicações
44,Demais Serviços 
45,Serviços Financeiros
46,Telecomunicações
47,Serviços Financeiros
48,Produtos Eletrodomésticos e Eletrônicos
49,Serviços Financeiros
