,Servico
0,Serviços Financeiros
1,Telecomunicações
2,Serviços Financeiros
3,Demais Serviços 
4,Serviços Financeiros
5,Telecomunicações
6,Serviços Financeiros
7,Serviços Financeiros
8,Serviços Financeiros
9,Demais Produtos
10,Telecomunicações
11,Transportes
12,Serviços Financeiros
13,Demais Produtos
14,Serviços Financeiros
15,Telecomunicações
16,Produtos de Telefonia e Informática
17,Serviços Financeiros
18,Serviços Financeiros
19,Telecomunicações
20,Telecomunicações
21,Serviços Financeiros
22,Demais Serviços 
23,Telecomunicações
24,Demais Produtos
25,Serviços Financeiros
26,Serviços Financeiros
27,Telecomunicações
28,Serviços Financeiros
29,Serviços Financeiros
30,Produtos de Telefonia e Informática
31,Telecomunicações
32,Telecomunicações
33,Serviços Financeiros
34,Serviços Financeiros
35,Transportes
36,Telecomunicações
37,Produtos Eletrodomésticos e Eletrônicos
38,Telecomunicações
39,Serviços Financeiros
40,Serviços Financeiros
41,Produtos de Telefonia e Informática
42,Telecomunicações
43,Transportes
44,Serviços Financeiros
45,Produtos de Telefonia e Informática
46,Serviços Financeiros
47,Transportes
48,Demais Produtos
49,Serviços Financeiros
